,Attribute,Indicator,ProgIndicator,Score,Department Code,Course Number,Course Name,Instructor's Last Name,Instructor's First Name,Term,Year,Cohort,Type
598829620,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.2,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684014860,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.54,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
843228181,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.66,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
820549378,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.4,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
533572169,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.35,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
975325712,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.47,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
310082419,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.18,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
242132470,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.24,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
208248363,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.59,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
277055951,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.34,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
902907559,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.82,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
528297980,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.62,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
444882790,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.32,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
112085131,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.15,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
588642518,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.63,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
414520736,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.74,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
356558346,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.54,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
970698993,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.83,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
633537205,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.27,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
534292868,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.75,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
816787809,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.61,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
220052551,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.71,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
858571733,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.26,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
363436152,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.32,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
393495083,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.74,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
769635714,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.8,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
373048949,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.77,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
357061292,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.32,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
837310284,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.37,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
815854164,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.68,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
315378369,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.2,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
564410540,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.31,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
126539887,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.28,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
563937624,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.28,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684291511,Knowledge Base,Recognize the key elements of object-oriented programming using Java,,0.46,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
598829620,Knowledge Base,Describe the main components of decision analysis,,0.32,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684014860,Knowledge Base,Describe the main components of decision analysis,,0.65,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
843228181,Knowledge Base,Describe the main components of decision analysis,,0.52,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
820549378,Knowledge Base,Describe the main components of decision analysis,,0.4,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
533572169,Knowledge Base,Describe the main components of decision analysis,,0.33,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
975325712,Knowledge Base,Describe the main components of decision analysis,,0.41,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
310082419,Knowledge Base,Describe the main components of decision analysis,,0.14,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
242132470,Knowledge Base,Describe the main components of decision analysis,,0.23,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
208248363,Knowledge Base,Describe the main components of decision analysis,,0.45,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
277055951,Knowledge Base,Describe the main components of decision analysis,,0.27,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
902907559,Knowledge Base,Describe the main components of decision analysis,,0.88,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
528297980,Knowledge Base,Describe the main components of decision analysis,,0.62,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
444882790,Knowledge Base,Describe the main components of decision analysis,,0.21,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
112085131,Knowledge Base,Describe the main components of decision analysis,,0.25,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
588642518,Knowledge Base,Describe the main components of decision analysis,,0.89,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
414520736,Knowledge Base,Describe the main components of decision analysis,,0.64,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
356558346,Knowledge Base,Describe the main components of decision analysis,,0.45,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
970698993,Knowledge Base,Describe the main components of decision analysis,,0.91,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
633537205,Knowledge Base,Describe the main components of decision analysis,,0.38,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
534292868,Knowledge Base,Describe the main components of decision analysis,,0.9,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
816787809,Knowledge Base,Describe the main components of decision analysis,,0.42,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
220052551,Knowledge Base,Describe the main components of decision analysis,,0.57,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
858571733,Knowledge Base,Describe the main components of decision analysis,,0.34,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
363436152,Knowledge Base,Describe the main components of decision analysis,,0.2,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
393495083,Knowledge Base,Describe the main components of decision analysis,,0.86,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
